2026-08-28 11:07:35,514 | INFO | AlertGenerator | Activity floor applied: 1953.60
2026-08-28 11:08:39,616 | INFO | AlertGenerator | Baseline calculation completed
2026-08-28 11:10:25,163 | INFO | AlertGenerator | Activity floor applied: 1953.60
2026-08-28 11:11:31,564 | INFO | AlertGenerator | Baseline calculation completed
2026-08-28 11:13:42,254 | INFO | AlertGenerator | Activity floor applied: 1953.60
2026-08-28 11:14:24,705 | INFO | AlertGenerator | Baseline calculation completed
2026-08-28 11:15:20,760 | INFO | AlertGenerator | Activity floor applied: 1953.60
2026-08-28 11:16:00,169 | INFO | AlertGenerator | Baseline calculation completed
2026-08-28 11:19:27,373 | INFO | AlertGenerator | Activity floor applied: 1953.60
2026-08-28 11:20:06,967 | INFO | AlertGenerator | Baseline calculation completed
2026-08-28 11:20:13,781 | INFO | AlertGenerator | Generated 25859 alerts
2026-08-28 11:20:13,991 | INFO | AlertGenerator | Alerts written to outputs folder
